29840,8440,9
29800,8440,9
29760,8440,9
29640,8440,9
29560,8440,9
29400,8400,9
29360,8400,9
29320,8400,9
29680,8440,10
29000,7440,8
29000,7480,8
29000,7720,8
29000,7760,8
29280,7360,0
29240,7360,0
29560,7280,0
29600,7280,0
29640,7360,0
29680,7360,0
28320,7080,0
28280,7080,0
29720,8360,6
29360,8320,6
29000,8080,6
28560,7840,6
27520,7480,6
26720,6840,0
26680,6840,0
26600,6840,0
26640,6840,0
26600,7000,0
26560,7000,0
26520,7000,0
26480,6960,0
26480,7000,0
26440,7000,0
26440,6920,0
26480,6920,0
26520,6920,0
26560,6920,0
26600,6920,0
26400,6840,0
26360,6840,0
26360,6880,0
26360,6920,0
26360,6960,0
26360,7040,0
26360,7000,0
26400,7000,0
25760,7120,0
25720,7120,0
21560,6440,13
21560,6480,13
21560,6560,13
21560,6520,13
22120,6800,0
21720,6840,0
20920,6360,6
20640,6200,6
20440,4080,1
20480,4120,1
20480,4240,1
19960,4080,1
19880,3880,1
19720,3800,1
19680,3800,1
19400,4080,1
19320,4080,1
19720,4440,1
19760,4720,1
19560,4680,1
19440,4640,1
19320,4600,1
19160,4600,1
19120,4560,1
19040,4560,1
19560,4440,1
19600,4240,1
19360,4360,1
19320,4360,1
19120,4280,1
19160,4280,1
19280,4280,1
19280,4320,1
19240,4320,1
19160,4320,1
20280,3800,13
20120,3800,13
18960,4280,6
19040,4400,6
20560,3880,6
19760,4320,6
19400,4280,6
19640,4120,6
19640,3720,6
19920,3760,6
19600,3920,5
19560,4120,5
19880,4240,5
20600,4720,8
19760,4840,8
20120,4600,8
19920,4480,8
19120,3880,8
19320,3960,8
19800,3960,8
19560,4080,8
19800,4240,8
19080,4800,8
19080,4720,8
19080,4640,8
19640,4640,8
19360,4760,8
19360,4520,8
18960,4440,8
19160,4640,1
19160,4480,5
19160,4400,5
19160,4360,5
19160,4240,5
19120,4200,5
19080,4160,5
19280,4120,5
19240,4160,5
19200,4160,5
19160,4120,5
19240,4040,5
19160,4040,5
19080,4000,5
19200,3960,5
19240,3960,5
19160,3960,5
19120,3960,5
19080,3960,5
19040,4000,5
19040,4040,5
19040,4080,5
19040,4120,5
19960,4840,1
20040,4920,1
19560,4240,1
19640,4240,1
19400,4360,1
19600,4440,1
19760,4440,1
19920,4720,1
19800,4720,1
19600,4680,1
19480,4640,1
19360,4600,1
19240,4560,1
19120,4520,1
19040,4520,1
19120,4320,1
19240,4280,1
19280,4080,1
19360,4080,1
19440,4080,1
19480,4080,1
19600,3800,1
19640,3800,1
20600,3760,1
20640,3760,1
20520,3960,1
20560,3960,1
20520,4240,1
20560,4240,1
19920,3880,1
19960,3880,1
19760,4080,1
19800,4080,1
20440,5400,8
20760,5920,6
20680,5920,6
20760,5960,6
20720,6000,6
20680,5960,6
20120,5040,8
20040,5040,8
20280,5040,8
20360,5040,8
20320,5040,8
20080,5040,8
20240,3600,6
20200,3600,6
20160,3600,6
20240,3280,13
20200,3280,13
20160,3280,13
19840,3400,6
19240,3400,6
18840,3400,6
17840,2920,13
17840,2960,13
17840,3000,13
17840,3040,13
16040,2120,13
16040,2080,13
16040,2040,13
16040,2160,13
16040,2200,13
13760,2320,1
13800,2320,1
12320,1400,1
12240,1400,1
12520,1480,1
12040,1480,1
9400,1760,0
9280,1880,0
9200,2040,0
9280,2160,0
9240,2280,0
12920,2160,6
12640,1680,6
11920,1680,6
12480,1680,6
12080,1680,6
9240,1600,6
9240,1520,6
9240,1560,6
9280,1520,13
9280,1560,13
9280,1600,13
9160,1640,1
8720,2840,8
8320,2840,8
8720,2560,6
8320,2560,6
8760,2480,0
8240,3160,6
8800,3160,6
8520,3240,6
7680,5120,16
7720,5120,16
7800,5120,16
6800,5520,16
7040,5520,16
6960,5520,16
6360,5520,16
6160,5520,16
6200,5520,16
5680,5520,16
5640,5520,16
5720,5520,16
5160,5200,16
5440,5200,16
5200,5200,16
6400,5280,5
6000,5320,5
5360,5080,0
5280,5080,0
5240,5160,0
5400,5200,0
5400,5160,0
5400,5120,0
5400,5080,0
5400,5040,0
5360,5040,0
5320,5040,0
5280,5040,0
5240,5040,0
5240,5080,0
5240,5120,0
5240,5200,0
5480,5240,0
5440,5280,0
5400,5320,0
5160,5240,0
5200,5280,0
5240,5320,0
5360,5360,0
5280,5360,0
5440,5240,0
5400,5240,0
5400,5280,0
5240,5240,0
5200,5240,0
5240,5280,0
5360,5320,0
5360,5280,0
5360,5240,0
5360,5200,0
5360,5160,0
5360,5120,0
5280,5120,0
5280,5160,0
5280,5200,0
5280,5240,0
5280,5280,0
5280,5320,0
6400,5520,0
6400,5480,0
6400,5440,0
6400,5400,0
6400,5360,0
6000,5400,0
